GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
E1-C01,C01_ISO2.E1_C01,E1_ISO2,239,0,62,0,43,0,34,0,3,0
E1-C01,C01_ISO2.E1_C01,Persona,20,33,0,0,10,12,5,6,5,6
